ID, APIName, Position, Balanced(0:yes#1:no), Pattern, GTransactionCnt, GlobSupport, LocSupport, SortingSupport
3805,net.sf.hibernate.ScrollableResults:get(),0,0,net.sf.hibernate.ScrollableResults:next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,2,0.5,0,0.5
2856,net.sf.hibernate.proxy.HibernateProxyHelper:getClass(java.lang.Object),0,0,net.sf.hibernate.proxy.HibernateProxyHelper:getClass(java.lang.Object)#ARGUMENT_PATTERNS#METHODARG_TRUE_FALSE_CHECK#(0)&&,2,0.5,0,0.5
1471,net.sf.hibernate.expression.Expression:le(java.lang.String:java.lang.Object),0,0,net.sf.hibernate.expression.Expression:le(java.lang.String:java.util.Date)#ARGUMENT_PATTERNS#NULL_CHECK#(0)&&,7,0.571428571428571,0,0.571428571428571
2089,net.sf.hibernate.Query:setParameterList(java.lang.String:java.util.Collection:net.sf.hibernate.type.Type),0,0,net.sf.hibernate.Query:setParameterList(java.lang.String:java.util.Collection:net.sf.hibernate.type.Type)#ARGUMENT_PATTERNS#NULL_CHECK#(0)&&,3,0.666666666666667,0,0.666666666666667
2099,net.sf.hibernate.Query:setInteger(int:int),0,0,net.sf.hibernate.Query:setInteger(int:UNKNOWN758)#ARGUMENT_PATTERNS#GEN_EQUALITY_CHECK#(0)&&,2,1,0,1
4154,net.sf.hibernate.Transaction:rollback(),0,0,net.sf.hibernate.Transaction:wasCommitted()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,6,0.666666666666667,0,0.666666666666667
4154,net.sf.hibernate.Transaction:rollback(),0,0,net.sf.hibernate.Transaction:wasRolledBack()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&net.sf.hibernate.Transaction:wasCommitted()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,6,0.5,0,0.666666666666667
576,net.sf.hibernate.cfg.Configuration:setInterceptor(net.sf.hibernate.Interceptor),0,0,net.sf.hibernate.cfg.Configuration:setInterceptor(net.sf.hibernate.Interceptor)#ARGUMENT_PATTERNS#NULL_CHECK#(0)&&,3,0.666666666666667,0,0.666666666666667
578,net.sf.hibernate.cfg.Configuration:addProperties(java.util.Properties),0,0,net.sf.hibernate.cfg.Configuration:addProperties(java.util.Properties)#ARGUMENT_PATTERNS#NULL_CHECK#(0)&&,4,0.5,0,0.5
580,net.sf.hibernate.cfg.Configuration:getProperty(java.lang.String),1,0,net.sf.hibernate.cfg.Configuration:getProperty(java.lang.String)#RETURN_PATTERNS#NULL_CHECK#(1)&&,5,0.4,0,0.4
1420,net.sf.hibernate.Session:disconnect(),0,0,net.sf.hibernate.Session:isConnected()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,6,0.666666666666667,0,0.666666666666667
1421,net.sf.hibernate.Session:reconnect(),0,0,net.sf.hibernate.Session:isConnected()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,9,0.555555555555556,0,0.555555555555556
1461,net.sf.hibernate.util.ReflectHelper:classForName(java.lang.String),0,0,net.sf.hibernate.util.ReflectHelper:classForName(java.lang.String)#ARGUMENT_PATTERNS#NULL_CHECK#(0)&&,4,0.75,0,0.75
200,org.hsqldb.lib.StringInputStream:CONSTRUCTOR(java.lang.String),0,0,org.hsqldb.lib.StringInputStream:CONSTRUCTOR(java.lang.String)#ARGUMENT_PATTERNS#NULL_CHECK#(0)&&,2,0.5,0,0.5
11,"javax.transaction.TransactionManager:getStatus()",1,0,"javax.transaction.TransactionManager:getStatus()#RETURN_PATTERNS#CONSTANT_EQUALITY_CHECK#Status.STATUS_NO_TRANSACTION(1)&&",73,0.45,0,0.45
